TF	Ndata_all	Ndata_direct
AATF	1	1
AR	5	5
ARID3A	3	3
ARNT2	2	0
ASCL1	7	7
ASCL2	9	2
ASH2L	1	1
ATF1	22	4
ATF2	26	8
ATF3	29	12
ATF4	19	6
ATOH1	1	1
BACH1	7	7
BANP	1	1
BATF	5	5
BCL6	6	6
BHLHE40	6	6
BMI1	14	14
BRF1	3	3
CBX2	19	4
CBX3	4	4
CBX8	1	1
CDK9	7	7
CDX2	6	6
CEBPA	35	4
CEBPB	35	27
CEBPD	37	5
CHD1	5	5
CHD4	17	5
CHD5	8	0
CREB1	15	13
CREB3	9	2
CRY1	2	1
CRY2	1	0
CTBP1	10	8
CTBP2	8	3
CTCF	11	11
CTCFL	3	3
CTNNB1	28	2
CUX1	6	6
DLX3	1	0
DLX4	1	0
DMRT1	1	1
DUX4	2	2
E2F1	25	6
E2F3	14	1
E2F4	29	7
E2F5	15	0
E2F6	27	8
E2F7	26	5
EBF1	5	5
EED	1	1
EGR1	23	19
EGR2	23	4
EHF	2	2
ELF1	7	7
ELF4	2	2
ELF5	1	1
ELK1	3	3
ELL2	5	5
EOMES	6	6
ERG	5	5
ESR1	15	15
ESRRA	8	8
ESRRB	8	0
ESRRG	9	0
ETS1	8	8
ETV1	2	2
ETV4	1	1
ETV6	10	10
FEV	1	1
FLI1	2	2
FOS	69	10
FOSL1	70	6
FOSL2	60	14
FOXA1	31	20
FOXA2	31	11
FOXC1	1	1
FOXD1	2	0
FOXD3	1	1
FOXH1	2	2
FOXM1	17	17
FOXO3	3	3
FOXP1	12	9
FOXP3	2	2
GABPA	20	20
GATA1	51	9
GATA2	49	5
GATA3	52	12
GATA6	51	10
GLIS2	2	2
GRHL2	2	2
GTF2B	1	1
GTF2F1	7	7
GTF3C5	1	1
H2AFZ	2	2
HDAC2	17	10
HDAC3	12	1
HDAC6	18	5
HDAC8	17	3
HES1	7	7
HES6	2	0
HEY1	5	5
HHEX	2	2
HMGA2	1	0
HMGN1	1	0
HMGXB4	1	0
HNF1A	16	3
HNF4A	15	13
HOXA1	1	0
HOXA10	3	0
HOXA2	2	0
HOXA3	2	0
HOXA7	1	1
HOXA9	1	1
HSF1	2	2
ID1	2	0
IKZF1	10	10
IKZF5	2	0
IRF1	4	4
IRF2	3	3
IRF3	5	5
IRF4	5	5
IRF5	1	1
IRX2	1	0
ISL1	1	1
JARID2	8	8
JUN	69	13
JUNB	70	2
JUND	50	17
KAT8	3	3
KDM1A	3	3
KDM5B	3	3
KLF1	39	6
KLF11	36	2
KLF12	39	1
KLF14	38	1
KLF15	33	3
KLF2	36	0
KLF3	19	1
KLF4	38	6
KLF5	14	2
KLF6	36	3
KLF8	37	2
KLF9	38	7
L3MBTL2	2	2
LHX1	3	0
LHX2	2	1
LHX3	2	0
LHX4	3	1
LHX5	3	0
LMO1	1	0
LMO2	2	0
MAFK	8	8
MAX	25	25
MBD3	2	2
MEF2A	8	6
MEF2C	9	3
MEIS1	4	4
MEIS2	4	0
MSC	1	1
MXI1	7	7
MYB	1	1
MYBL2	5	5
MYC	27	20
MYCN	8	3
MYF5	1	1
MYOD1	3	3
NANOG	11	11
NELFA	1	1
NELFE	1	1
NEUROD1	18	5
NEUROD2	18	0
NEUROD4	17	0
NEUROD6	18	0
NEUROG1	18	0
NEUROG2	17	12
NEUROG3	17	1
NFATC1	2	2
NFE2L1	2	2
NFIA	4	4
NFIB	4	4
NFIC	7	7
